Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,VWAP,Day_Perc_Change,Trend
HDFCBANK,EQ,2018-08-30,2078.5,2083.6,2087.9,2061.85,2068,2066.1,2068.31,5456865,11286474714.0,133557,4345737,79.64,8,2018,1924.5357947064974,-0.005965840750541296,Slight or No change
HDFCBANK,EQ,2018-08-31,2066.1,2069.2,2078.75,2058.25,2059.95,2061.2,2066.01,3942875,8146013033.0,140776,3181673,80.69,8,2018,1925.4802480949825,-0.002371618024297084,Slight or No change
HDFCBANK,EQ,2018-09-03,2061.2,2069.4,2078.95,2063.5,2073.95,2075.05,2074.56,1915402,3973616595.0,65178,1283227,67.0,9,2018,1925.9806983252538,0.0067193867649915084,Slight or No change
HDFCBANK,EQ,2018-09-04,2075.05,2076.9,2077.95,2049.0,2052.05,2051.8,2058.91,1782634,3670291387.0,67279,1256959,70.51,9,2018,1926.3712840310695,-0.01120454928796899,Slight or No change
HDFCBANK,EQ,2018-09-05,2051.8,2053.8,2060.2,2035.55,2044.35,2045.85,2044.77,1410377,2883899267.0,73829,797823,56.57,9,2018,1926.664014076333,-0.0028998927770739202,Slight or No change
HDFCBANK,EQ,2018-09-06,2045.85,2049.0,2059.0,2032.6,2050.15,2052.2,2044.28,2600603,5316362857.0,125530,1571661,60.43,9,2018,1927.228595062124,0.003103844367866593,Slight or No change
HDFCBANK,EQ,2018-09-07,2052.2,2051.0,2060.0,2040.75,2059,2056.95,2049.34,1479825,3032658572.0,78038,879399,59.43,9,2018,1927.5597230979458,0.0023145892213234376,Slight or No change
HDFCBANK,EQ,2018-09-10,2056.95,2055.0,2055.0,2025.1,2039,2041.15,2035.83,2149648,4376324619.0,81719,1391506,64.73,9,2018,1927.979361347839,-0.007681275675149979,Slight or No change
HDFCBANK,EQ,2018-09-11,2041.15,2046.3,2048.0,1994.15,2000.1,2000.4,2016.36,4546634,9167648376.0,134132,3634555,79.94,9,2018,1928.5408469794993,-0.019964235847438894,Slight or No change
HDFCBANK,EQ,2018-09-12,2000.4,2001.9,2021.35,1989.55,2017.8,2011.85,2003.65,3061502,6134193206.0,106281,2063215,67.39,9,2018,1928.973512399025,0.005723855228954022,Slight or No change
HDFCBANK,EQ,2018-09-14,2011.85,2019.85,2037.4,2018.95,2027.75,2029.6,2025.31,2583668,5232736593.0,104303,1910009,73.93,9,2018,1929.4126237148905,0.008822725352287675,Slight or No change
HDFCBANK,EQ,2018-09-17,2029.6,2021.3,2022.95,1988.0,1991.95,1992.2,1996.62,2334555,4661229732.0,98788,1707061,73.12,9,2018,1929.6592236663853,-0.018427276310603036,Slight or No change
HDFCBANK,EQ,2018-09-18,1992.2,1994.9,2009.85,1980.95,1991,1989.2,1996.22,2331434,4654066699.0,119091,1494911,64.12,9,2018,1929.8918474221405,-0.0015058729043269103,Slight or No change
HDFCBANK,EQ,2018-09-19,1989.2,1994.85,1998.0,1956.5,1962.15,1961.35,1972.12,4178066,8239636739.0,158841,2892899,69.24,9,2018,1930.1105706131502,-0.014000603257591004,Slight or No change
HDFCBANK,EQ,2018-09-21,1961.35,1973.9,1999.85,1910.2,1976,1970.25,1972.83,5652537,11151516853.0,159768,3618031,64.01,9,2018,1930.4846250566054,0.0045376908761822765,Slight or No change
HDFCBANK,EQ,2018-09-24,1970.25,1967.25,1972.2,1915.0,1922,1925.7,1944.39,3347698,6509244679.0,144878,2192667,65.5,9,2018,1930.4583632814692,-0.02261134373810425,Slight or No change
HDFCBANK,EQ,2018-09-25,1925.7,1925.7,1962.0,1915.0,1961.7,1952.4,1936.01,4170638,8074408157.0,125022,2492934,59.77,9,2018,1930.6073823315928,0.013865088019940908,Slight or No change
HDFCBANK,EQ,2018-09-26,1952.4,1962.95,1978.0,1955.3,1966.05,1968.2,1966.04,3681681,7238341783.0,145107,2807141,76.25,9,2018,1930.8314210161757,0.008092603974595436,Slight or No change
HDFCBANK,EQ,2018-09-27,1968.2,1969.4,1986.0,1955.15,1978.1,1976.15,1972.52,4588052,9050041002.0,116913,3341974,72.84,9,2018,1931.1655124947604,0.004039223656132629,Slight or No change
HDFCBANK,EQ,2018-09-28,1976.15,1980.65,2015.45,1977.15,2008.5,2006.05,2002.53,3615179,7239503402.0,106240,2096118,57.98,9,2018,1931.5979934582829,0.01513043038230899,Slight or No change
HDFCBANK,EQ,2018-10-01,2006.05,2009.8,2042.0,1997.8,2039.9,2035.45,2020.89,3112397,6289802724.0,137110,2063063,66.29,10,2018,1932.111801859573,0.014655666608509366,Slight or No change
HDFCBANK,EQ,2018-10-03,2035.45,2030.45,2052.2,2007.0,2031,2031.15,2030.01,3833037,7781099200.0,186478,2644623,69.0,10,2018,1932.711591439416,-0.002112554963275892,Slight or No change
HDFCBANK,EQ,2018-10-04,2031.15,2008.0,2017.8,1943.0,1945,1957.75,1977.74,4492646,8885267602.0,153828,2558885,56.96,10,2018,1932.888069298173,-0.03613716367575026,Slight or No change
HDFCBANK,EQ,2018-10-05,1957.75,1953.95,1990.0,1940.15,1950,1965.3,1969.01,3932295,7742732615.0,128211,2248905,57.19,10,2018,1933.0867983165183,0.003856467884050474,Slight or No change
HDFCBANK,EQ,2018-10-08,1965.3,1965.0,1969.0,1930.0,1940,1945.0,1952.44,5032005,9824668680.0,169225,3483442,69.23,10,2018,1933.1795422801176,-0.010329211825166662,Slight or No change
HDFCBANK,EQ,2018-10-09,1945.0,1944.4,1965.0,1930.0,1945.95,1940.6,1944.92,3114841,6058129369.0,88603,1953889,62.73,10,2018,1933.2151295651672,-0.0022622107969152427,Slight or No change
HDFCBANK,EQ,2018-10-10,1940.6,1945.0,1982.25,1935.5,1968.4,1967.15,1963.16,3984983,7823155390.0,117923,2403363,60.31,10,2018,1933.4220695657393,0.01368133566938079,Slight or No change
HDFCBANK,EQ,2018-10-11,1967.15,1925.0,1948.3,1917.6,1941,1937.55,1931.15,3589976,6932797362.0,129986,2331832,64.95,10,2018,1933.4446231903441,-0.015047149429377571,Slight or No change
HDFCBANK,EQ,2018-10-12,1937.55,1945.0,1997.1,1942.0,1977,1981.85,1981.23,2400080,4755112135.0,93778,1539425,64.14,10,2018,1933.620791701236,0.02286392609222987,Slight or No change
HDFCBANK,EQ,2018-10-15,1981.85,1990.0,2010.8,1970.3,2009.7,2008.05,1994.75,3146492,6276455269.0,109332,2245706,71.37,10,2018,1933.974228508502,0.013219971238993988,Slight or No change
HDFCBANK,EQ,2018-10-16,2008.05,2003.0,2018.2,1987.5,1989.6,1992.75,2002.38,2351501,4708609016.0,97545,1333177,56.69,10,2018,1934.1820769322026,-0.007619332187943528,Slight or No change
HDFCBANK,EQ,2018-10-17,1992.75,2006.1,2013.0,1963.5,1974.65,1974.6,1995.84,1985199,3962136753.0,67208,941791,47.44,10,2018,1934.3023827540774,-0.00910801656003013,Slight or No change
HDFCBANK,EQ,2018-10-19,1974.6,1958.9,1980.85,1958.0,1970,1967.75,1968.79,2466837,4856687588.0,126597,1527531,61.92,10,2018,1934.4256395519187,-0.0034690570242074115,Slight or No change
HDFCBANK,EQ,2018-10-22,1967.75,2014.0,2020.0,1988.6,1998.3,1998.9,2000.42,5082790,10167706188.0,218564,2846739,56.01,10,2018,1934.9114975488421,0.01583026299072543,Slight or No change
HDFCBANK,EQ,2018-10-23,1998.9,1973.0,1998.9,1973.0,1985,1984.85,1987.49,4857141,9653520391.0,199917,3793841,78.11,10,2018,1935.268540254971,-0.007028865876231971,Slight or No change
